id,clean_title,stemmed_body,category
64124,hoaks pernyataan wali kota sukabumi terkait aksi damai,jelas edar media sosial buah flyer cantum logo perintah kota sukabumi foto wali kota sukabumi ayep zaki beberapa kutip nyata kait aksi damai nyata sebut isi imbau seluruh pihak mengatasnamakan seluruh rakyat kota sukabumi tiap aksi laku tidak semua masyarakat milik pandang sikap sama fakta lansir akun instagram perintah kota sukabumi pemkotsukabumi wali kota sukabumi ayep zaki ban sebut ia tidak pernah keluar nyata yang tera flyer perintah kota sukabumi tidak pernah terbit flyer sebut karena konten flyer sebut hoaks link counter,Klarifikasi Hoaks
64123,hoaks kemenag sebut zakatinfak dikelola pemerintah untuk hindari neraka,jelas edar buah unggah video media sosial facebook klaim menteri agama kemenag tegas uang zakat infak kini kelola perintah tuju umat hindar neraka fakta klaim narasi menteri agama kemenag sebut uang zakat infak kelola perintah umat hindar neraka hoaks lansir kompascom kepala biro hubung masyarakat komunikasi publik menteri agama kemenag thobib al asyhar pasti informasi edar sebut benar menteri agama tegas kelola zakat laku profesional transparan akuntabel lalu lembaga resmi awas audit kala baik lalu badan amil zakat nasional baznas maupun lembaga amil zakat laz link counter,Klarifikasi Hoaks
64122,hoaks akun tiktok mengatasnamakan bupati karo antonius ginting,jelas edar akun tiktok mengatasnamakan bupati karo antonius ginting akun tiktok sebut guna nama foto profil antonius ginting fakta lansir akun instagram dinas komunikasi informatika kabupaten karo kominfokaro tegas akun tiktok sebut rupa akun palsu bupati karo pribadi maupun dinas pernah operasi guna akun tiktok sebut hubung warga pihak perintah kabupaten pemkab minta masyarakat selalu laku verifikasi ulang tidak mudah percaya akun media sosial baru mengatasnamakan jabat daerah segala bentuk informasi resmi putar giat perintah siar lalu kanal resmi diskominfo kabupaten karo portal resmi perintah kabupaten karo link counter,Klarifikasi Hoaks
64121,hoaks natalius pigai menyebut wajib militer khusus rakyat papua,jelas edar buah unggah media sosial facebook klaim ada perintah wajib laku wajib militer khusus rakyat papua fakta klaim sebut benar lansir saberhoaksjabarprovgoid laku telusur guna mesin cari google masuk kata kunci wajib militer khusus rakyat papua hasil temu berita media kredibel singgung perihal wajib militer rakyat papua lansir artikel papuatengahantaranewscom judul natalius pigai larang nobar film pesta babi lalu putus adil sempat wawancara tanggal mei kantor menteri ham jakarta pigai beri tanggap kena larang putar maupun nonton bareng nobar film pesta babi laku pihak dasar hukum putus adil itu lansir berita kompascom judul jenguk korban racun mbg pigai kalau sembuh sekolah biar jadi menteri saya tayang tanggal mei pigai hadir rumah sakit ibu anak ikat bidan indonesia rsia ibi surabaya jenguk korban racun makan gizi gratis mbg dapat simpul unggah mengatasnamakan menteri ham natalius pigai sebut wajib militer khusus rakyat papua berita tidak benar link counter,Klarifikasi Hoaks
64120,hoaks pigai sebut putusnya kabel sutet sebagai pelanggaran ham,jelas edar unggah media sosial facebook isi narasi klaim menteri hak asasi manusia natalius pigai sebut putus kabel salur udara tegang ekstra tinggi sutet sebab blackout pulau sumatra langgar hak asasi manusia ham fakta klaim sebut benar lansir kompascom unggah catut pigai sebut putus kabel sutet langgar ham rupa hoaks tidak nyata macam pigai jauh belum ada nyata dari menteri ham kait insiden blackout pulau sumatra itu wakabareskrim polri irjen pol nunung syaifuddin pasti jauh tidak temu indikasi sabotase atau unsur sengaja insiden blackout sebut link counter,Klarifikasi Hoaks
64119,hoaks dedi mulyadi masuk rumah sakit dan koma pada mei,jelas edar buah unggah media sosial facebook klaim gubernur jawa barat dedi mulyadi masuk rumah sakit koma mei fakta klaim sebut benar lansir kompascom tidak temu informasi kredibel benar isu sebut adapun foto dedi baring ranjang pasien identifikasi foto lama ambil unggah kanal youtube kang dedi mulyadi channel januari mana dedi jalan operasi bersih alir darah rspad gatot soebroto jakarta itu saat dedi aktif unggah konten media sosial link counter,Klarifikasi Hoaks
64118,hoaks purbaya sebut program mbg membebani apbn,jelas edar buah unggah media sosial facebook narasi klaim menteri uang purbaya yudhi sadewa sebut program makan gizi gratis mbg sebab defisit beban apbn fakta klaim sebut benar lansir turnbackhoaxid temu informasi berita kredibel benar klaim masuk kata kunci anggar mbg mesin cari google telusur atas arah artikel antaranewscom judul menkeu anggar alutsista hingga mbg ganggu struktur apbn purbaya justru tegas seluruh program perintah masuk mbg hitung agar tidak ganggu struktur apbn tetap jaga defisit bawah tiga persen produk domestik bruto pdb link counter,Klarifikasi Hoaks
64115,hoaks presiden prabowo minum bir saat menjamu macron di istana negara,jelas edar buah unggah video media sosial instagram klaim presiden prabowo minum bir gala dinner sama presiden prancis emmanuel macron dua lihat sulang gelas isi cair warna emas sedikit busa fakta klaim presiden prabowo minum bir gala dinner sama presiden prancis emmanuel macron hoaks lansir saberhoaksjabarprovgoid sekretaris kabinet seskab teddy indra wijaya tegas minum teguk presiden prabowo subianto jamu presiden prancis emmanuel macron jamu makan malam istana presiden jakarta pusat sparkling apple pihak istana presiden lalu deputi bidang protokol pers media sekretariat presiden yusuf permana kata yang minum dua kepala negara kandung alkohol bir sari apel link counter,Klarifikasi Hoaks
64114,hoaks akun whatsapp mengatasnamakan kepala dinas pupr agus ismail st mt,jelas edar akun whatsapp mengatasnamakan kepala dinas kerja umum tata ruang pupr kabupaten garut akun sebut guna nomor foto profil kepala dinas pupr kabupaten garut agus ismail stmt fakta akun whatsapp sebut rupa modus tipu lansir akun instagram garutsaberhoaks nomor edar sebut modus tipu mengatasnamakan kepala dinas pupr kabupaten garut pihak imbau masyarakat hatihati kedok tipu mengatasnamakan jabat publik link counter,Klarifikasi Hoaks
64113,hoaks akun whatsapp mengatasnamakan kepala badan pendapatan daerah kota bengkulu noni yuliesti,jelas edar akun whatsapp mengatasnamakan kepala badan dapat daerah bapenda kota bengkulu noni yuliesti akun sebut guna foto profil noni yuliesti nomor whatsapp fakta lansir mediacenterbengkulukotagoid akun whatsapp sebut rupa tindak tipu manfaat foto nama jabat daerah untung pribadi masyarakat aparatur sipil negara asn seluruh mitra kerja bapenda imbau abai segala bentuk pesan minta data intruksi transfer uang nomor sebut masyarakat jajar pegawai dapat pesan curiga harap segera laku konfirmasi langsung nomor pribadi jabat sangkut telah simpan belum link counter,Klarifikasi Hoaks
